date,id,grade,price,region code,region name
2016-01-02,1,3,8072,3849,경남합천
2016-01-02,2,3,8529,3849,경남합천
2016-01-02,3,2,9355,3442,충남서산
2016-01-02,4,2,9368,3442,충남서산
2016-01-02,5,2,9500,3740,경북영천
2016-01-02,6,2,10000,3812,경남울산
2016-01-03,7,3,8900,3834,경남창녕
2016-01-03,8,2,10000,3632,전남담양
2016-01-04,9,3,8200,3750,경북예천
2016-01-04,10,2,9658,3440,충남홍성
2016-01-04,11,2,9683,3440,충남홍성
2016-01-04,12,1,10200,3739,경북경주
2016-01-04,13,1,10250,3649,전남장성
2016-01-04,14,1,,3515,전북남원
2016-01-05,15,2,9486,3716,경북영주
2016-01-05,16,2,9770,3713,경북김천
2016-01-05,17,2,9780,3713,경북김천
2016-01-05,18,1,10087,3646,전남나주
2016-01-06,19,3,7829,3312,충북충주
2016-01-06,20,3,8725,3613,전남순천
2016-01-06,21,2,9500,3742,경북청도
2016-01-06,22,2,9659,3312,충북충주
2016-01-06,23,2,9781,3648,전남영광
2016-01-06,24,2,9824,3613,전남순천
2016-01-06,25,2,9829,3440,충남홍성
2016-01-06,26,2,9886,3440,충남홍성
2016-01-06,27,2,9900,3645,전남무안
2016-01-06,28,2,10000,3711,경북포항
2016-01-06,29,1,10250,3434,충남공주
2016-01-07,30,3,8070,3845,경남하동
2016-01-07,31,3,,3442,충남서산
2016-01-08,32,3,9057,3712,경북경주
2016-01-08,33,3,9100,3834,경남창녕
2016-01-08,34,2,9971,3712,경북경주
2016-01-09,35,3,8200,3750,경북예천
2016-01-09,36,2,9933,3642,전남강진
2016-01-09,37,2,10000,3739,경북경주
2016-01-09,38,1,10300,3649,전남장성
2016-01-09,39,1,12000,3515,전북남원
2016-01-09,40,1,14264,3642,전남강진
2016-01-10,41,2,9526,3716,경북영주
2016-01-10,42,2,9550,3833,경남함안
2016-01-10,43,2,9550,3646,전남나주
2016-01-10,44,2,10000,3646,전남나주
2016-01-11,45,2,9201,3848,경남거창
2016-01-11,46,2,9290,3848,경남거창
2016-01-11,47,2,9626,3848,경남거창
2016-01-11,48,2,9724,3440,충남홍성
2016-01-11,49,2,,3440,충남홍성
2016-01-11,50,2,9910,3645,전남무안
2016-01-11,51,2,,3711,경북포항
2016-01-11,52,1,10160,3648,전남영광
2016-01-11,53,1,10471,3848,경남거창
2016-01-12,54,3,,3245,강원삼척
2016-01-12,55,3,8218,3748,경북상주
2016-01-12,56,3,8677,3748,경북상주
2016-01-12,57,2,,3812,경남울산
2016-01-12,58,2,9235,3442,충남서산
2016-01-12,59,2,9731,3245,강원삼척
2016-01-12,60,2,9800,3740,경북영천
2016-01-12,61,1,10200,3647,전남함평
2016-01-12,62,1,10361,3442,충남서산
2016-01-12,63,1,,3647,전남함평
2016-01-13,64,3,8800,3834,경남창녕
2016-01-13,65,1,10100,3632,전남담양
2016-01-14,66,3,8200,3750,경북예천
2016-01-14,67,2,9116,3743,경북고령
2016-01-14,68,2,9270,3649,전남장성
2016-01-14,69,2,9373,3743,경북고령
2016-01-14,70,2,9666,3642,전남강진
2016-01-14,71,2,9836,3440,충남홍성
2016-01-14,72,2,9900,3649,전남장성
2016-01-14,73,2,9918,3440,충남홍성
2016-01-14,74,1,11000,3515,전북남원
2016-01-14,75,1,14638,3642,전남강진
2016-01-15,76,2,9300,3646,전남나주
2016-01-15,77,2,9390,3716,경북영주
2016-01-15,78,2,,3646,전남나주
2016-01-15,79,2,10000,3211,강원춘천
2016-01-16,80,3,8975,3613,전남순천
2016-01-16,81,2,9350,3613,전남순천
2016-01-16,82,2,9730,3711,경북포항
